No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
764,Hyundai i20 Petrol CVT Asta,7.95 Lakh,"39,898 kms",Petrol,Automatic,1st Owner,2018,2995 cc,5 Seats,"April 02, 2018"
765,Audi S5 3.0 TFSIq Tiptronic,65 Lakh,"11,000 kms",Petrol,Automatic,1st Owner,2018,1498 cc,4 Seats,"March 22, 2018"
766,Mahindra Bolero B4,8 Lakh,"25,000 kms",Diesel,Manual,1st Owner,2020,1197 cc,7 Seats,"May 09, 2020"
767,Maruti Swift VXI,6.75 Lakh,"10,218 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,"May 27, 2019"
768,Honda City 1.5 S AT,3.05 Lakh,"88,119 kms",Petrol,Automatic,2nd Owner,2009,1968 cc,5 Seats,"March 22, 2009"
769,Audi A6 35 TDI,21.85 Lakh,"64,000 kms",Diesel,Automatic,2nd Owner,2017,1462 cc,5 Seats,"January 17, 2017"
770,Maruti Vitara Brezza ZXI Plus,10.08 Lakh,"14,572 kms",Petrol,Manual,1st Owner,2021,1461 cc,5 Seats,"March 26, 2021"
771,Nissan Sunny Diesel XL,4.21 Lakh,"66,512 kms",Diesel,Manual,2nd Owner,2014,1591 cc,5 Seats,"September 18, 2014"
772,Hyundai Verna 1.6 SX VTVT (O) AT,5.65 Lakh,"66,357 kms",Petrol,Automatic,2nd Owner,2014,2967 cc,5 Seats,"September 03, 2014"
773,Audi A6 3.0 TDI Quattro Premium Plus,11.65 Lakh,"60,000 kms",Diesel,Automatic,3rd Owner,2012,2494 cc,5 Seats,"June 12, 2012"
774,Toyota Innova 2.5 G4 Diesel 8-seater,5.66 Lakh,"91,865 kms",Diesel,Manual,1st Owner,2011,1493 cc,8 Seats,"November 01, 2011"
775,Kia Seltos HTX Plus D,17.85 Lakh,"31,409 kms",Diesel,Manual,1st Owner,2020,1586 cc,5 Seats,"May 25, 2020"
776,Maruti SX4 Vxi BSIV,2.45 Lakh,"76,247 kms",Petrol,Manual,1st Owner,2010,1950 cc,5 Seats,"February 18, 2010"
777,Mercedes-Benz C-Class Progressive C 200,19.11 Lakh,"52,000 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats,"October 23, 2016"
778,Honda City V MT,3.61 Lakh,"48,267 kms",Petrol,Manual,1st Owner,2011,1497 cc,5 Seats,"April 17, 2011"
779,Honda City i VTEC CVT VX,9.45 Lakh,"31,441 kms",Petrol,Automatic,1st Owner,2017,1396 cc,5 Seats,"March 18, 2017"
780,Hyundai i20 1.4 CRDi Asta,3.65 Lakh,"59,564 kms",Diesel,Manual,1st Owner,2011,2354 cc,5 Seats,"January 15, 2011"
781,Honda CR-V 2.4L 4WD AT,8.40 Lakh,"80,000 kms",Petrol,Automatic,2nd Owner,2014,1586 cc,5 Seats,"June 02, 2014"
782,Maruti SX4 ZXI MT BSIV,2.85 Lakh,"65,115 kms",Petrol,Manual,2nd Owner,2010,1199 cc,5 Seats,"December 27, 2010"
783,Honda Jazz 1.2 SV i VTEC,4.65 Lakh,"46,149 kms",Petrol,Manual,2nd Owner,2015,1497 cc,5 Seats,"June 02, 2015"
784,Honda City V MT,3.21 Lakh,"65,598 kms",Petrol,Manual,1st Owner,2010,2143 cc,5 Seats,"September 17, 2010"
785,Mercedes-Benz GLC 220d 4MATIC Sport,35.75 Lakh,"72,000 kms",Diesel,Automatic,2nd Owner,2018,1461 cc,5 Seats,"September 20, 2018"
786,Renault Duster 110PS Diesel RxL,5.65 Lakh,"72,350 kms",Diesel,Manual,1st Owner,2014,1197 cc,5 Seats,"April 09, 2014"
787,Maruti Baleno 1.2 Zeta,7.25 Lakh,"18,959 kms",Petrol,Manual,1st Owner,2018,1497 cc,5 Seats,"September 23, 2018"
788,Honda City V MT,4.21 Lakh,"80,078 kms",Petrol,Manual,1st Owner,2013,1968 cc,5 Seats,"October 20, 2013"
789,Volkswagen Passat Diesel Highline 2.0 TDI,6.50 Lakh,"58,000 kms",Diesel,Automatic,2nd Owner,2011,1591 cc,5 Seats,"August 24, 2011"
790,Hyundai Verna 1.6 VTVT S,6.49 Lakh,"49,613 kms",Petrol,Manual,1st Owner,2017,1461 cc,5 Seats,"November 02, 2017"
791,Renault Duster 85PS Diesel RxS,8.30 Lakh,"80,002 kms",Diesel,Manual,1st Owner,2019,1330 cc,5 Seats,"June 07, 2019"
792,Nissan Kicks 1.3 Turbo XV,9.80 Lakh,"16,194 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats,"September 12, 2020"
793,Honda City ZX CVT,12.35 Lakh,"55,617 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats,"May 27, 2020"
794,Honda City i-VTEC VX,9.40 Lakh,"38,409 kms",Petrol,Manual,1st Owner,2019,1198 cc,5 Seats,"October 19, 2019"
795,Honda Brio VX AT,3.25 Lakh,"68,045 kms",Petrol,Automatic,1st Owner,2014,1462 cc,5 Seats,"June 24, 2014"
796,Maruti Ciaz Alpha BSIV,9.26 Lakh,"7,342 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,"July 13, 2019"
797,Honda City i-VTEC CVT ZX,9.45 Lakh,"27,914 kms",Petrol,Automatic,1st Owner,2017,998 cc,5 Seats,"August 07, 2017"
798,Hyundai Venue SX Plus Turbo DCT,12.60 Lakh,"8,639 kms",Petrol,Automatic,1st Owner,2021,998 cc,5 Seats,"September 05, 2021"
799,Hyundai Venue SX Plus Turbo DCT,11.85 Lakh,"11,069 kms",Petrol,Automatic,1st Owner,2021,1497 cc,5 Seats,"May 14, 2021"
800,Honda City i-VTEC CVT ZX,9.69 Lakh,"73,971 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,"December 15, 2018"
801,Honda Jazz 1.2 V i VTEC,5.15 Lakh,"70,379 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,"October 23, 2017"
802,Hyundai Venue SX Turbo,9.99 Lakh,"19,108 kms",Petrol,Manual,1st Owner,2021,1591 cc,5 Seats,"March 08, 2021"
803,Hyundai Verna VTVT 1.6 SX,8.99 Lakh,"37,842 kms",Petrol,Manual,1st Owner,2018,2494 cc,5 Seats,"April 25, 2018"
804,Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,2.25 Lakh,"1,20,000 kms",Diesel,Manual,1st Owner,2007,1950 cc,7 Seats,"May 28, 2007"
805,Mercedes-Benz GLC 220d 4MATIC,56.50 Lakh,"24,000 kms",Diesel,Automatic,1st Owner,2020,1956 cc,5 Seats,"February 21, 2020"
806,Jeep Compass 2.0 Limited 4X4 Opt Diesel AT,25 Lakh,"35,500 kms",Diesel,Automatic,2nd Owner,2021,1991 cc,5 Seats,"December 20, 2021"
807,Mercedes-Benz GLC 200,61 Lakh,"15,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,5 Seats,"August 19, 2021"
808,Jaguar F-Pace 2.0 R-Dynamic S Diesel,74 Lakh,"9,900 kms",Diesel,Automatic,1st Owner,2021,1998 cc,5 Seats,"October 22, 2021"
